id_pedido,data,hora,dia_semana,loja,categoria_loja,produto,complexidade_preparo,horario_pico,pedidos_hora_loja,tempo_preparo_min,tempo_entrega_min,distancia_km,quantidade,valor_unitario,valor_total,taxa_entrega,desconto,valor_final,forma_pagamento,status_pedido,regiao_entrega,cliente_gostou
4133,2025-04-17,11:50,Thursday,Café Aroma,Cafeteria,Café Expresso,Baixa,Sim,51,10,40.0,7.53,5,41.63,208.15,19.53,18.37,209.31,Pix,Em Transporte,Zona Leste,Sim
8917,2025-02-12,16:10,Wednesday,Burger House,Hamburgueria,Combo Burger,Média,Não,22,22,46.0,1.1,5,84.97,424.85,9.45,24.17,410.13,Cartão Débito,Em Transporte,Zona Sul,Sim
1442,2025-02-18,17:09,Tuesday,Burger House,Hamburgueria,Combo Burger,Média,Não,6,27,40.0,9.54,5,69.02,345.1,9.42,15.98,338.54,Pix,Em Transporte,Zona Sul,Sim
7309,2025-03-27,08:24,Thursday,Pizza Mania,Pizzaria,Pizza Mussarela,Alta,Não,17,35,60.0,10.38,2,49.17,98.34,14.28,14.96,97.66,Cartão Crédito,Em Transporte,Centro,Não
567,2025-06-25,15:03,Wednesday,Mercado Fácil,Mercado,Arroz,Média,Não,15,33,62.0,3.13,1,43.61,43.61,9.72,22.83,30.5,Dinheiro,Entregue,Zona Norte,Sim
747,2025-03-08,11:45,Saturday,Pizza Mania,Pizzaria,Pizza Frango,Alta,Sim,79,69,121.0,11.76,4,47.43,189.72,5.86,11.95,183.63,Cartão Débito,Cancelado,Zona Oeste,Não
4391,2025-05-08,20:42,Thursday,Pizza Mania,Pizzaria,Pizza Frango,Alta,Sim,47,63,83.0,8.26,5,68.74,343.7,17.76,10.68,350.78,Cartão Crédito,Em Transporte,Zona Norte,Sim
3457,2025-06-17,13:49,Tuesday,Pizza Mania,Pizzaria,Lasanha,Alta,Sim,62,54,102.0,7.22,4,48.21,192.84,5.56,13.0,185.4,,Em Transporte,Zona Leste,Sim
4497,2025-03-25,13:08,Tuesday,Pizza Mania,Pizzaria,Pizza Mussarela,Alta,Sim,35,67,99.0,10.58,5,51.94,259.7,2.2,28.59,233.31,Cartão Débito,Cancelado,Centro,Não
7387,2025-05-15,20:17,Thursday,Café Aroma,Cafeteria,Pão Queijo,Baixa,Sim,80,18,55.0,5.86,4,27.4,109.6,13.26,5.2,117.66,Cartão Débito,Entregue,Zona Norte,Sim
5416,2025-01-12,13:06,Sunday,Sushi Express,Japonesa,Temaki,Alta,Sim,51,52,135.0,10.56,3,18.58,55.74,12.15,29.85,38.04,Cartão Débito,Em Transporte,Zona Sul,Sim
3543,2025-04-26,15:07,Saturday,Fit Green,Saudável,Sanduíche Natural,Média,Não,10,28,39.0,4.21,3,56.35,169.05,14.22,6.39,176.88,Pix,Cancelado,Zona Sul,Sim
6319,2025-01-23,16:49,Thursday,Churras Grill,Churrasco,Churrasco Premium,Alta,Não,10,42,71.0,6.42,2,27.08,54.16,16.94,24.24,46.86,Vale Refeição,Entregue,Zona Sul,Sim
5870,2025-03-26,14:47,Wednesday,Churras Grill,Churrasco,Espetinho,Alta,Não,11,65,98.0,11.2,5,70.29,351.45,19.31,24.39,346.37,Cartão Débito,Em Transporte,Zona Oeste,Sim
5800,2025-01-25,10:36,Saturday,Doce Sabor,Sobremesas,Sorvete,Baixa,Não,7,21,52.0,5.18,2,78.54,157.08,19.4,12.04,164.44,Pix,Em Transporte,Zona Leste,Sim
6265,2025-06-09,20:00,Monday,Doce Sabor,Sobremesas,Sorvete,Baixa,Sim,39,5,24.0,12.98,1,34.49,34.49,4.97,1.56,37.9,Vale Refeição,Cancelado,Zona Leste,Sim
7340,2025-02-01,20:16,Saturday,Churras Grill,Churrasco,Espetinho,Alta,Sim,62,65,127.0,12.12,1,36.47,36.47,3.06,15.11,24.42,Vale Refeição,Cancelado,Centro,Não
166,2025-06-02,13:20,Monday,Mercado Fácil,Mercado,Leite,Média,Sim,75,29,48.0,14.48,5,29.92,149.6,19.71,20.38,148.93,Vale Refeição,Entregue,Zona Sul,Sim
1854,2025-01-16,22:23,Thursday,Sushi Express,Japonesa,Temaki,Alta,Não,15,36,58.0,13.85,1,45.55,45.55,8.63,28.16,26.02,Pix,Cancelado,Centro,Sim
8694,2025-05-27,08:48,Tuesday,Fit Green,Saudável,Salada,Média,Não,19,40,50.0,7.08,1,67.51,67.51,13.47,13.97,67.01,Vale Refeição,Entregue,Zona Sul,Sim
8022,2025-01-05,22:37,Sunday,Fit Green,Saudável,Suco Verde,Média,Não,12,31,69.0,9.51,4,53.65,214.6,17.88,20.75,211.73,Cartão Crédito,Cancelado,,Sim
935,2025-01-22,19:50,Wednesday,Fit Green,Saudável,Suco Verde,Média,Sim,35,31,46.0,12.26,4,74.14,296.56,5.01,0.55,301.02,Pix,Entregue,Zona Norte,Não
1497,2025-03-05,17:09,Wednesday,Café Aroma,Cafeteria,Cappuccino,Baixa,Não,8,11,29.0,1.84,5,81.42,407.1,6.05,7.83,405.32,Cartão Débito,Entregue,Centro,Sim
784,2025-01-17,19:27,Friday,Mercado Fácil,Mercado,Leite,Média,Sim,71,20,60.0,5.14,5,18.35,91.75,9.15,3.33,97.57,Cartão Débito,Cancelado,Zona Leste,Sim
1248,2025-05-18,10:17,Sunday,Café Aroma,Cafeteria,Torta,Baixa,Não,15,23,33.0,9.82,1,68.51,68.51,18.34,28.98,57.87,Cartão Crédito,Entregue,Zona Leste,Sim
7921,2025-01-28,09:24,Tuesday,Mercado Fácil,Mercado,Arroz,Média,Não,16,32,64.0,12.3,4,44.3,177.2,12.19,13.99,175.4,Dinheiro,Cancelado,Zona Oeste,Sim
8134,2025-04-10,12:27,Thursday,Mercado Fácil,Mercado,Arroz,Média,Sim,56,32,62.0,13.74,2,51.1,102.2,14.34,3.61,112.93,Cartão Crédito,Em Transporte,Zona Norte,Sim
9395,2025-02-28,22:30,Friday,Pastel do Centro,Lanches,Caldo Cana,Baixa,Não,8,20,30.0,6.19,1,25.92,25.92,11.7,9.02,28.6,Pix,Entregue,Zona Oeste,Sim
4752,2025-04-18,09:50,Friday,Sushi Express,Japonesa,Yakissoba,Alta,Não,11,43,73.0,6.69,4,67.03,268.12,11.26,21.97,257.41,Vale Refeição,Entregue,Zona Oeste,Sim
4514,2025-02-18,09:50,Tuesday,Pizza Mania,Pizzaria,Pizza Calabresa,Alta,Não,11,68,92.0,11.25,5,70.45,352.25,7.96,20.24,339.97,Cartão Débito,Cancelado,Zona Sul,Sim
1882,2025-01-29,12:53,Wednesday,Churras Grill,Churrasco,Espetinho,Alta,Sim,47,68,87.0,13.9,3,47.24,141.72,14.38,20.07,136.03,Pix,Cancelado,Zona Leste,Sim
3991,2025-01-05,13:23,Sunday,Churras Grill,Churrasco,Costela,Alta,Sim,73,63,102.0,6.14,3,81.78,245.34,15.62,7.61,253.35,Dinheiro,Em Transporte,Zona Leste,Não
1192,2025-06-27,11:42,Friday,Fit Green,Saudável,Salada,Média,Sim,57,45,69.0,9.54,3,84.49,253.47,17.12,4.26,266.33,Cartão Débito,Entregue,Centro,Sim
6822,2025-06-11,21:22,Wednesday,Pastel do Centro,Lanches,Pastel Queijo,Baixa,Sim,62,24,62.0,10.55,3,15.45,46.35,15.82,22.81,39.36,Cartão Crédito,Entregue,Zona Leste,Sim
6930,2025-05-20,19:00,Tuesday,Café Aroma,Cafeteria,Café Expresso,Baixa,Sim,66,7,39.0,10.29,1,34.71,34.71,3.02,4.23,33.5,Pix,Entregue,,Sim
6002,2025-05-09,23:31,Friday,Doce Sabor,Sobremesas,Pudim,Baixa,Não,17,17,33.0,10.06,1,80.65,80.65,12.17,20.63,72.19,Cartão Débito,Entregue,Zona Leste,Sim
4181,2025-06-10,22:14,Tuesday,Fit Green,Saudável,Sanduíche Natural,Média,Não,10,33,67.0,1.39,3,89.62,268.86,13.21,23.14,258.93,Cartão Débito,Entregue,Zona Norte,Sim
4903,2025-02-09,13:55,Sunday,Pastel do Centro,Lanches,Pastel Queijo,Baixa,Sim,79,10,30.0,5.43,1,36.34,36.34,6.4,5.72,37.02,Cartão Débito,Em Transporte,Zona Sul,Sim
3222,2025-04-18,17:45,Friday,Pastel do Centro,Lanches,Caldo Cana,Baixa,Não,6,25,59.0,6.78,2,65.25,130.5,17.7,5.2,143.0,Dinheiro,Em Transporte,Zona Oeste,Sim
7115,2025-03-08,10:26,Saturday,Churras Grill,Churrasco,Marmita,Alta,Não,23,55,68.0,7.73,3,26.95,80.85,13.85,9.34,85.36,Pix,Entregue,Zona Oeste,Não
7909,2025-04-16,21:06,Wednesday,Burger House,Hamburgueria,Batata Frita,Média,Sim,45,40,62.0,8.22,5,68.77,343.85,15.14,27.1,331.89,Vale Refeição,Em Transporte,Zona Oeste,Sim
3799,2025-05-13,08:42,Tuesday,Mercado Fácil,Mercado,Feijão,Média,Não,24,28,62.0,10.74,2,9.56,19.12,9.32,18.48,9.96,Dinheiro,Entregue,Zona Oeste,Sim
1218,2025-05-29,13:00,Thursday,Pastel do Centro,Lanches,Caldo Cana,Baixa,Sim,70,22,48.0,9.49,1,78.22,78.22,4.95,2.25,80.92,Vale Refeição,Entregue,Zona Leste,Sim
3870,2025-03-11,14:58,Tuesday,Café Aroma,Cafeteria,Cappuccino,Baixa,Não,21,23,61.0,2.53,2,34.34,68.68,3.8,4.39,68.09,Cartão Débito,Entregue,Zona Norte,Sim
6257,2025-02-18,13:46,Tuesday,Mercado Fácil,Mercado,Feijão,Média,Sim,30,26,43.0,9.25,1,9.3,9.3,11.89,23.4,-2.21,Pix,Cancelado,Zona Leste,Sim
4760,2025-03-10,20:32,Monday,Mercado Fácil,Mercado,Arroz,Média,Sim,79,42,53.0,12.21,1,34.3,34.3,15.91,12.18,38.03,Pix,Entregue,Centro,Sim
9558,2025-05-30,21:33,Friday,Sushi Express,Japonesa,Yakissoba,Alta,Sim,40,62,90.0,12.13,5,82.95,414.75,17.07,29.24,402.58,Cartão Débito,Em Transporte,Zona Sul,Não
5786,2025-06-14,09:48,Saturday,Café Aroma,Cafeteria,Pão Queijo,Baixa,Não,15,7,38.0,4.52,4,85.93,343.72,10.2,16.51,337.41,Cartão Débito,Cancelado,Zona Norte,Não
8130,2025-06-30,18:08,Monday,Pizza Mania,Pizzaria,Pizza Mussarela,Alta,Sim,55,66,135.0,2.31,1,852.4,852.4,8.64,4.15,856.89,Dinheiro,Em Transporte,Zona Oeste,Sim
9221,2025-02-18,14:04,Tuesday,Doce Sabor,Sobremesas,Pudim,Baixa,Não,12,19,44.0,13.38,2,21.26,42.52,3.9,25.57,20.85,Vale Refeição,Entregue,Zona Leste,Sim
1063,2025-01-23,21:03,Thursday,Sushi Express,Japonesa,Hot Roll,Alta,Sim,40,36,66.0,4.29,3,15.8,47.4,18.73,28.31,37.82,,Em Transporte,Zona Oeste,Não
7553,2025-05-01,21:19,Thursday,Pizza Mania,Pizzaria,Lasanha,Alta,Sim,44,55,76.0,2.05,3,79.74,239.22,14.6,24.15,229.67,Pix,Cancelado,Zona Norte,Sim
5621,2025-02-22,20:29,Saturday,Churras Grill,Churrasco,Marmita,Alta,Sim,63,37,106.0,7.59,2,21.55,43.1,3.83,10.34,36.59,Cartão Crédito,Em Transporte,Zona Oeste,Não
9337,2025-02-12,17:16,Wednesday,Mercado Fácil,Mercado,Arroz,Média,Não,19,30,50.0,1.22,5,55.94,279.7,13.09,24.74,268.05,Pix,Em Transporte,Zona Sul,Não
3686,2025-01-02,20:04,Thursday,Sushi Express,Japonesa,Sushi Combo,Alta,Sim,63,60,130.0,4.53,3,41.14,123.42,11.77,27.34,107.85,Cartão Débito,Entregue,Zona Sul,Não
2671,2025-02-01,14:33,Saturday,Sushi Express,Japonesa,Yakissoba,Alta,Não,6,63,75.0,12.16,5,63.58,317.9,0.89,21.87,296.92,Cartão Crédito,Em Transporte,Zona Oeste,Sim
9604,2025-04-02,22:33,Wednesday,Farmácia Vida,Farmácia,Vitamina C,Baixa,Não,10,7,17.0,12.52,1,43.37,43.37,6.13,15.7,33.8,Cartão Crédito,Em Transporte,Zona Oeste,Sim
2594,2025-06-08,23:56,Sunday,Churras Grill,Churrasco,Churrasco Premium,Alta,Não,18,49,66.0,10.68,1,259.84,259.84,16.21,6.31,269.74,Dinheiro,Em Transporte,Zona Norte,Não
9021,2025-02-26,21:09,Wednesday,Fit Green,Saudável,Sanduíche Natural,Média,Sim,57,33,49.0,5.97,1,38.05,38.05,6.15,21.8,22.4,Vale Refeição,Em Transporte,Zona Sul,Sim
2731,2025-01-27,22:58,Monday,Burger House,Hamburgueria,Combo Burger,Média,Não,5,35,72.0,1.45,5,24.97,124.85,13.57,7.05,131.37,Vale Refeição,Cancelado,Zona Oeste,Sim
8859,2025-01-04,22:51,Saturday,Churras Grill,Churrasco,Costela,Alta,Não,20,43,78.0,12.9,4,47.15,188.6,1.54,27.63,162.51,Pix,Cancelado,,Sim
9945,2025-04-24,12:51,Thursday,Burger House,Hamburgueria,Batata Frita,Média,Sim,49,24,43.0,14.69,4,59.18,236.72,8.95,3.3,242.37,Cartão Crédito,Cancelado,Zona Sul,Sim
7948,2025-03-01,21:23,Saturday,Pastel do Centro,Lanches,Pastel Carne,Baixa,Sim,65,13,32.0,5.74,5,28.78,143.9,11.23,28.91,126.22,Dinheiro,Entregue,Zona Leste,Não
1205,2025-03-22,20:14,Saturday,Café Aroma,Cafeteria,Café Expresso,Baixa,Sim,57,12,,3.52,2,60.95,121.9,12.45,8.9,125.45,Vale Refeição,Cancelado,Centro,Não
8949,2025-06-15,19:46,Sunday,Churras Grill,Churrasco,Espetinho,Alta,Sim,36,68,95.0,3.66,2,62.05,124.1,18.42,0.16,142.36,Pix,Entregue,Centro,Não
2772,2025-04-12,16:59,Saturday,Sushi Express,Japonesa,Hot Roll,Alta,Não,9,62,74.0,9.02,4,42.04,168.16,9.67,29.73,148.1,Cartão Débito,Entregue,Zona Leste,Sim
5498,2025-01-20,19:45,Monday,Doce Sabor,Sobremesas,Açaí,Baixa,Sim,68,18,41.0,7.76,5,19.97,99.85,9.67,1.54,107.98,Dinheiro,Entregue,Zona Leste,Não
4081,2025-03-23,14:08,Sunday,Pastel do Centro,Lanches,Coxinha,Baixa,Não,24,23,51.0,1.72,5,26.21,131.05,9.61,29.4,111.26,Dinheiro,Em Transporte,Zona Sul,Sim
1937,2025-03-07,20:45,Friday,Pastel do Centro,Lanches,Caldo Cana,Baixa,Sim,71,7,47.0,12.2,1,89.95,89.95,4.82,22.75,72.02,Cartão Crédito,Em Transporte,Zona Sul,Sim
6507,2025-04-08,12:08,Tuesday,Sushi Express,Japonesa,Sushi Combo,Alta,Sim,77,60,102.0,10.15,3,81.77,245.31,12.31,4.24,253.38,Cartão Débito,Em Transporte,Centro,Sim
8921,2025-02-15,21:42,Saturday,Pastel do Centro,Lanches,Pastel Carne,Baixa,Sim,67,25,45.0,14.17,4,14.57,58.28,2.87,13.25,47.9,Cartão Crédito,Entregue,Zona Oeste,Sim
5462,2025-03-23,08:40,Sunday,Churras Grill,Churrasco,Marmita,Alta,Não,24,54,68.0,9.16,3,67.69,203.07,6.11,5.45,203.73,Dinheiro,Em Transporte,Zona Oeste,Não
8620,2025-01-02,09:12,Thursday,Fit Green,Saudável,Wrap Frango,Média,Não,20,44,62.0,10.37,1,78.27,78.27,5.27,6.63,76.91,Cartão Débito,Cancelado,Zona Sul,Sim
458,2025-05-24,09:32,Saturday,Pizza Mania,Pizzaria,Pizza Calabresa,Alta,Não,8,45,75.0,8.08,1,79.41,79.41,3.14,8.76,73.79,Pix,Entregue,Zona Sul,Sim
9255,2025-03-12,16:56,Wednesday,Pastel do Centro,Lanches,Pastel Carne,Baixa,Não,11,5,17.0,13.49,4,72.1,288.4,14.94,11.62,291.72,Cartão Crédito,Em Transporte,Zona Norte,Sim
4385,2025-03-13,14:10,Thursday,Sushi Express,Japonesa,Hot Roll,Alta,Não,21,40,54.0,12.46,4,47.8,191.2,9.11,13.91,186.4,Cartão Crédito,Em Transporte,Zona Leste,Sim
7494,2025-05-16,10:43,Friday,Doce Sabor,Sobremesas,Açaí,Baixa,Não,11,17,44.0,5.03,2,75.4,150.8,7.6,20.53,137.87,Cartão Crédito,Em Transporte,Zona Leste,Sim
4971,2025-04-07,08:53,Monday,Fit Green,Saudável,Suco Verde,Média,Não,24,23,43.0,2.68,4,67.79,271.16,19.81,11.2,279.77,Cartão Débito,Entregue,Zona Oeste,Sim
9742,2025-02-20,15:45,Thursday,Fit Green,Saudável,Suco Verde,Média,Não,6,23,36.0,3.07,3,65.73,197.19,8.09,14.75,190.53,Dinheiro,Entregue,Zona Norte,Sim
48,2025-04-21,18:38,Monday,Pizza Mania,Pizzaria,Pizza Calabresa,Alta,Sim,46,36,48.0,10.41,2,86.88,173.76,11.5,28.52,156.74,Cartão Débito,Em Transporte,Centro,Não
6993,2025-04-26,13:11,Saturday,Burger House,Hamburgueria,Batata Frita,Média,Sim,67,22,54.0,9.81,3,40.17,120.51,8.6,15.23,113.88,,Cancelado,Zona Leste,Não
1649,2025-04-17,12:03,Thursday,Pastel do Centro,Lanches,Caldo Cana,Baixa,Sim,42,18,34.0,9.37,3,32.93,98.79,12.58,7.74,103.63,Cartão Crédito,Entregue,Centro,Sim
3949,2025-01-05,20:35,Sunday,Fit Green,Saudável,Wrap Frango,Média,Sim,57,37,,12.56,4,87.06,348.24,16.55,17.23,347.56,Cartão Crédito,Em Transporte,Zona Norte,Não
6188,2025-04-22,12:40,Tuesday,Pizza Mania,Pizzaria,Lasanha,Alta,Sim,58,65,125.0,3.76,1,52.77,52.77,12.96,24.26,41.47,Cartão Débito,Entregue,Zona Oeste,Não
9695,2025-04-15,09:02,Tuesday,Burger House,Hamburgueria,X-Burger,Média,Não,20,29,44.0,2.54,1,75.12,75.12,4.05,5.09,74.08,Pix,Cancelado,Centro,Não
2875,2025-01-22,15:12,Wednesday,Doce Sabor,Sobremesas,Pudim,Baixa,Não,8,16,40.0,12.6,5,22.63,113.15,13.44,23.74,102.85,Vale Refeição,Em Transporte,Zona Norte,Sim
286,2025-04-16,13:11,Wednesday,Churras Grill,Churrasco,Churrasco Premium,Alta,Sim,31,43,76.0,2.44,2,62.29,124.58,14.01,2.4,136.19,Pix,Cancelado,Zona Oeste,Sim
4858,2025-03-19,10:20,Wednesday,Sushi Express,Japonesa,Hot Roll,Alta,Não,20,36,64.0,5.8,5,38.71,193.55,1.22,7.98,186.79,Dinheiro,Em Transporte,Zona Oeste,Não
3185,2025-06-06,10:22,Friday,Burger House,Hamburgueria,Combo Burger,Média,Não,16,36,74.0,13.13,3,84.09,252.27,11.71,19.85,244.13,Cartão Débito,Cancelado,Zona Sul,Sim
9463,2025-06-23,14:41,Monday,Farmácia Vida,Farmácia,Sabonete,Baixa,Não,22,13,52.0,4.01,2,88.94,177.88,12.93,8.55,182.26,Pix,Entregue,Zona Norte,Sim
4992,2025-06-15,21:42,Sunday,Café Aroma,Cafeteria,Cappuccino,Baixa,Sim,31,20,52.0,7.96,2,86.03,172.06,9.59,27.43,154.22,Cartão Débito,Entregue,Zona Norte,Sim
4066,2025-05-15,15:51,Thursday,Churras Grill,Churrasco,Espetinho,Alta,Não,19,59,69.0,1.77,4,13.55,54.2,1.55,28.56,27.19,Vale Refeição,Cancelado,Zona Oeste,Sim
923,2025-04-02,17:18,Wednesday,Fit Green,Saudável,Sanduíche Natural,Média,Não,25,42,78.0,3.95,4,42.27,169.08,15.89,25.41,159.56,Vale Refeição,Entregue,Zona Norte,Sim
5222,2025-04-02,18:20,Wednesday,Sushi Express,Japonesa,Temaki,Alta,Sim,37,38,62.0,7.91,2,34.96,69.92,14.25,13.64,70.53,Dinheiro,Em Transporte,Zona Norte,Sim
3450,2025-04-11,09:29,Friday,Mercado Fácil,Mercado,Feijão,Média,Não,10,24,51.0,11.2,5,31.12,155.6,3.99,28.56,131.03,Dinheiro,Em Transporte,Zona Oeste,Sim
4593,2025-04-29,09:28,Tuesday,Doce Sabor,Sobremesas,Sorvete,Baixa,Não,7,6,28.0,4.14,1,84.81,84.81,1.71,6.98,79.54,Cartão Crédito,Entregue,Zona Norte,Sim
1151,2025-01-17,21:13,Friday,Churras Grill,Churrasco,Churrasco Premium,Alta,Sim,47,43,55.0,13.95,2,36.15,72.3,10.71,27.25,55.76,Dinheiro,Cancelado,Zona Oeste,Sim
4201,2025-04-05,16:58,Saturday,Café Aroma,Cafeteria,Café Expresso,Baixa,Não,22,15,49.0,12.5,5,65.72,328.6,15.39,27.72,316.27,Cartão Crédito,Cancelado,Zona Sul,Sim
2269,2025-01-20,13:10,Monday,Sushi Express,Japonesa,Sushi Combo,Alta,Sim,51,70,135.0,5.54,4,45.55,182.2,12.8,2.47,192.53,Cartão Crédito,Entregue,Zona Leste,Não
9897,2025-02-16,12:51,Sunday,Churras Grill,Churrasco,Espetinho,Alta,Sim,48,66,93.0,6.99,4,52.93,211.72,2.93,9.35,205.3,pix ,Entregue,Zona Oeste,Sim
5706,2025-01-16,11:18,Thursday,Burger House,Hamburgueria,X-Burger,Média,Sim,73,30,49.0,8.12,4,53.77,215.08,19.38,25.85,208.61,Cartão Crédito,Em Transporte,Zona Leste,Sim
5414,2025-02-10,23:54,Monday,Pizza Mania,Pizzaria,Pizza Frango,Alta,Não,16,57,91.0,6.41,2,38.74,77.48,11.82,9.31,79.99,Cartão Crédito,Cancelado,Zona Sul,Sim
3287,2025-04-28,11:05,Monday,Pizza Mania,Pizzaria,Lasanha,Alta,Sim,37,43,54.0,11.75,4,9.47,37.88,13.14,20.78,30.24,Cartão Crédito,Cancelado,Zona Oeste,Sim
7791,2025-04-15,23:35,Tuesday,Doce Sabor,Sobremesas,Açaí,Baixa,Não,17,9,23.0,13.95,1,43.38,43.38,4.1,24.86,22.62,Cartão Crédito,Entregue,Zona Leste,Sim
6870,2025-05-13,18:50,Tuesday,Mercado Fácil,Mercado,Leite,Média,Sim,80,21,51.0,2.55,1,88.03,88.03,11.11,13.17,85.97,Cartão Débito,Entregue,Zona Oeste,Sim
8813,2025-03-13,16:48,Thursday,Café Aroma,Cafeteria,Torta,Baixa,Não,21,10,29.0,10.83,5,40.15,200.75,0.67,13.15,188.27,Cartão Crédito,Entregue,Zona Leste,Sim
5142,2025-05-17,23:12,Saturday,Mercado Fácil,Mercado,Macarrão,Média,Não,16,38,75.0,10.36,3,72.3,216.9,16.26,29.22,203.94,Cartão Crédito,Cancelado,Zona Leste,Sim
